Dataset,Stage,Mode,Pipeline B,thr_avg,thr_std,avg_avg,avg_std,p95_avg,p95_std,p99_avg,p99_std,sd_avg,sd_std
Synthetic,Pipeline,Consistent Hashing,50,141689.2851879778,16513.33712109764,0.017230052920999998,0.0021303379896208006,0.0510493818,0.008029683037470337,0.08124644844,0.01756086253622508,49960.173817383315,147.34893147809225
Synthetic,Pipeline,D-HASH,50,134448.07754516407,12834.042520509332,0.028325898866,0.0030791667068353957,0.0671336584,0.012500194243509443,0.10046711588,0.020537270351245845,31998.796125083838,89.11194781867488
Synthetic,Pipeline,Consistent Hashing,100,158236.93296080106,17554.076374549244,0.014907941669000002,0.0022736380573898673,0.044053037760000004,0.008009556054690833,0.07566774496,0.01407269807693421,49871.33882692834,246.2487669678462
Synthetic,Pipeline,D-HASH,100,150196.60414452228,17569.195708225023,0.02493838710799999,0.0030889924435656365,0.06658382689,0.01107828776475495,0.10471255859,0.022046663469664746,32039.126628795115,210.1428456811317
Synthetic,Pipeline,Consistent Hashing,200,170084.1406913895,11553.008495360667,0.014069856428999997,0.0010749850200887365,0.045194309263560994,0.004550056884900451,0.07538176015910596,0.00981088190413333,49930.85397315391,179.594331698326
Synthetic,Pipeline,D-HASH,200,166834.83457332454,11606.121736097859,0.02248899946333335,0.0016820568643712984,0.061638616890000004,0.0059950535288328865,0.09259207232481344,0.011855978678319059,32369.6611037675,132.90170654169256
Synthetic,Pipeline,Consistent Hashing,500,178412.77261376887,12866.126284942438,0.013678195455,0.0010333476694334499,0.04187401235692148,0.003020300629918194,0.06419429422115216,0.006874992558641003,50074.87926454584,139.6417684938421
Synthetic,Pipeline,D-HASH,500,166476.11815917876,16348.705725191434,0.022711641697666655,0.0023447221045357967,0.0581084360172,0.006414756721441277,0.0851297605428,0.007074197937072239,33178.417768706466,156.32894515090743
Synthetic,Pipeline,Consistent Hashing,1000,188322.83314169996,12523.41613274633,0.013058847548000003,0.0009511984385477935,0.04024804192350265,0.004613237368165894,0.05844524540135565,0.005289245387371171,49973.55761465847,186.76644479169278
Synthetic,Pipeline,D-HASH,1000,163386.14933583527,14046.29552528831,0.022732703712333335,0.002109991776151273,0.05478476310270053,0.003730571633966308,0.075228317958,0.010765037271416696,33798.56336737659,174.78956054817937
