Dataset,Stage,Mode,Alpha,Throughput (avg),Load Stddev (avg)
Synthetic,Zipf,Consistent Hashing,1.1,157806.66404602228,22301.910483341817
Synthetic,Zipf,Weighted CH,1.1,162480.20851398972,19711.445620310613
Synthetic,Zipf,Rendezvous,1.1,164297.03222290226,21619.469484666257
Synthetic,Zipf,D-HASH,1.1,152196.9627118821,14259.148535028731
Synthetic,Zipf,Consistent Hashing,1.3,175028.8816718982,37926.55231268421
Synthetic,Zipf,Weighted CH,1.3,181494.22332421533,35679.957266979574
Synthetic,Zipf,Rendezvous,1.3,186150.9065909557,37784.910377315544
Synthetic,Zipf,D-HASH,1.3,171663.59912150787,24361.813717774363
Synthetic,Zipf,Consistent Hashing,1.5,179902.7918704988,49944.6236778732
Synthetic,Zipf,Weighted CH,1.5,182965.78774232566,48178.55242300574
Synthetic,Zipf,Rendezvous,1.5,181075.40995145097,51244.49209396339
Synthetic,Zipf,D-HASH,1.5,167092.27331253822,33054.275009954144
